"Date","Impressions","Clicks","Reactions","Comments","Shares","Engagement Rate"
"2024-03-24","761","31","1.0","30.666666666666668","0.0","0.08234778799824792"
"2024-03-23","619","19","0.0","0.0","0.0","0.030694668820678513"
"2024-03-22","5458","299","44.0","92.0","0.0","0.07969952363503115"
"2024-03-21","5191","289","28.0","6.0","3.0","0.06280100173376998"
"2024-03-20","8292","425","63.0","2.0","0.3333333333333333","0.05913330117382216"
"2024-03-19","14928","1009","144.0","38.0","1.0","0.07984994640943194"
"2024-03-18","2546","136","17.0","1.0","0.0","0.060487038491751764"
"2024-03-17","458","11","4.0","0.0","0.0","0.03275109170305677"
"2024-03-16","667","25","2.0","0.0","0.0","0.04047976011994003"
"2024-03-15","3995","76","34.0","3.0","0.0","0.02828535669586984"
"2024-03-14","3276","70","38.0","1.0","1.0","0.033577533577533576"
"2024-03-13","464","8","0.0","0.0","0.0","0.017241379310344827"
"2024-03-12","1537","46","7.0","0.0","0.0","0.034482758620689655"
"2024-03-11","3686","208","17.0","2.0","0.0","0.06158437330439501"
"2024-03-10","399","9","2.0","0.0","0.0","0.02756892230576441"
"2024-03-09","912","18","2.0","1.0","0.0","0.023026315789473683"
"2024-03-08","1509","30","16.0","26.0","2.0","0.04903909874088801"
"2024-03-07","1334","40","8.0","1.0","0.0","0.03673163418290855"
"2024-03-06","2515","58","48.0","33.0","1.0","0.055666003976143144"
"2024-03-05","985","13","3.0","0.0","0.0","0.016243654822335026"
"2024-03-04","2729","75","17.0","5.0","0.0","0.035544155368266765"
"2024-03-03","704","31","2.0","0.0","0.0","0.046875"
"2024-03-02","3904","203","16.0","0.0","0.0","0.05609631147540984"
"2024-03-01","635","6","2.0","0.0","0.0","0.012598425196850394"
"2024-02-29","993","15","3.0","0.0","0.0","0.01812688821752266"
"2024-02-28","3974","77","23.0","0.0","3.0","0.025918470055359837"
"2024-02-27","1017","23","4.0","0.0","0.0","0.02654867256637168"
"2024-02-26","1028","21","3.0","1.0","0.0","0.024319066147859923"
"2024-02-25","597","18","0.0","0.0","0.0","0.03015075376884422"
"2024-02-24","793","34","2.0","2.0","0.0","0.04791929382093316"
"2024-02-23","1597","42","32.0","5.0","0.0","0.049467752035065746"
"2024-02-22","1762","61","50.0","55.0","0.0","0.094211123723042"
"2024-02-21","2265","77","17.0","5.0","0.0","0.04370860927152318"
"2024-02-20","1418","21","4.0","0.0","0.0","0.01763046544428773"
"2024-02-19","687","9","12.0","1.0","2.0","0.034934497816593885"
"2024-02-18","410","6","4.0","0.0","0.0","0.024390243902439025"
"2024-02-17","339","19","4.0","0.0","0.0","0.06784660766961652"
"2024-02-16","661","21","12.0","17.666666666666668","0.0","0.07665153807362583"
"2024-02-15","861","42","11.0","0.0","0.0","0.06155632984901278"
"2024-02-14","4288","144","72.0","53.0","0.0","0.06273320895522388"
"2024-02-13","2119","68","21.0","0.0","0.0","0.042000943841434636"
"2024-02-12","1164","34","17.0","0.0","0.0","0.04381443298969072"
"2024-02-11","1072","35","14.0","2.0","0.0","0.04757462686567164"
"2024-02-10","1323","43","24.0","0.0","0.0","0.050642479213907785"
"2024-02-09","4749","125","92.0","25.0","0.0","0.05095809644135608"
"2024-02-08","1023","20","10.0","3.0","0.0","0.03225806451612903"
"2024-02-07","2187","16","32.0","27.0","0.0","0.03429355281207133"
"2024-02-06","3334","29","18.0","79.66666666666667","2.0","0.038592281543691265"
"2024-02-05","3207","82","74.0","239.0","0.0","0.12316806984720922"
"2024-02-04","381","11","3.0","0.0","0.0","0.03674540682414698"
"2024-02-03","341","12","2.0","0.3333333333333333","0.0","0.04203323558162268"
"2024-02-02","509","7","3.0","0.0","0.0","0.019646365422396856"
"2024-02-01","620","13","13.0","1.0","0.0","0.043548387096774194"
"2024-01-31","906","20","80.0","70.0","2.0","0.18984547461368653"
"2024-01-30","487","27","13.0","1.0","0.0","0.08418891170431211"
"2024-01-29","716","64","11.0","0.0","0.0","0.10474860335195531"
"2024-01-28","616","51","2.0","3.0","0.0","0.09090909090909091"
"2024-01-27","369","28","2.0","0.0","0.0","0.08130081300813008"
"2024-01-26","667","33","12.0","2.0","0.0","0.0704647676161919"
"2024-01-25","1326","27","14.0","1.0","0.0","0.03167420814479638"
"2024-01-24","2802","170","58.0","13.0","1.0","0.08636688079942897"
"2024-01-23","1152","108","22.0","5.0","0.0","0.1171875"
"2024-01-22","1232","86","9.0","6.0","0.0","0.08198051948051949"
"2024-01-21","827","54","5.0","1.0","0.0","0.07255139056831923"
"2024-01-20","800","31","9.0","0.0","0.0","0.05"
"2024-01-19","1594","77","45.0","3.0","0.0","0.07841907151819323"
"2024-01-18","1539","36","37.0","2.0","0.0","0.04873294346978557"
"2024-01-17","3510","50","114.0","41.0","1.0","0.05868945868945869"
