Data,Impressões (orgânicas),Impressões (patrocinadas),Impressões (total),Impressões únicas (orgânicas),Cliques (orgânicos),Cliques (patrocinados),Cliques (total),Reações (orgânicas),Reações (patrocinadas),Reações (total),Comentários (orgânicos),Comentários (patrocinados),Comentários (total),Compartilhamentos (orgânicos),Compartilhamentos (patrocinados),Compartilhamentos (total),Taxa de engajamento (orgânico),Taxa de engajamento (patrocinado),Taxa de engajamento (total)
01/17/2023,7335,0,7335,3344,291,0,291,134,0,134,10,0,10,5,0,5,0.05998636673483299,0.0,0.05998636673483299
01/18/2023,4436,0,4436,2285,165,0,165,48,0,48,4,0,4,0,0,0,0.04891794409377818,0.0,0.04891794409377818
01/19/2023,8411,0,8411,4125,391,0,391,41,0,41,6,0,6,4,0,4,0.05255023183925812,0.0,0.05255023183925812
01/20/2023,13630,0,13630,6986,655,0,655,109,0,109,11,0,11,5,0,5,0.05722670579603815,0.0,0.05722670579603815
01/21/2023,6183,0,6183,2965,284,0,284,51,0,51,2,0,2,2,0,2,0.05482775351770985,0.0,0.05482775351770985
01/22/2023,3331,0,3331,1574,220,0,220,16,0,16,2,0,2,1,0,1,0.07175022515761033,0.0,0.07175022515761033
01/23/2023,3534,0,3534,1825,218,0,218,21,0,21,1,0,1,0,0,0,0.06791171477079797,0.0,0.06791171477079797
01/24/2023,7818,0,7818,3689,250,0,250,79,0,79,1,0,1,7,0,7,0.04310565361985162,0.0,0.04310565361985162
01/25/2023,6617,0,6617,3149,275,0,275,53,0,53,3,0,3,3,0,3,0.05047604654677346,0.0,0.05047604654677346
01/26/2023,5428,0,5428,2612,261,0,261,45,0,45,7,0,7,0,0,0,0.057663964627855564,0.0,0.057663964627855564
01/27/2023,3732,0,3732,1757,154,0,154,34,0,34,50,0,50,0,0,0,0.06377277599142551,0.0,0.06377277599142551
01/28/2023,3559,0,3559,1758,122,0,122,28,0,28,6,0,6,0,0,0,0.04383253722955886,0.0,0.04383253722955886
01/29/2023,5406,0,5406,2378,358,0,358,45,0,45,9,0,9,1,0,1,0.07639659637439881,0.0,0.07639659637439881
01/30/2023,7768,0,7768,4674,257,0,257,62,0,62,97,0,97,2,0,2,0.05381050463439753,0.0,0.05381050463439753
01/31/2023,4980,0,4980,2345,123,0,123,72,0,72,6,0,6,5,0,5,0.04136546184738956,0.0,0.04136546184738956
02/01/2023,4264,0,4264,1918,98,0,98,53,0,53,0,0,0,1,0,1,0.03564727954971857,0.0,0.03564727954971857
02/02/2023,3079,0,3079,1734,69,0,69,51,0,51,2,0,2,0,0,0,0.03962325430334524,0.0,0.03962325430334524
02/03/2023,9526,0,9526,4913,474,0,474,92,0,92,14,0,14,1,0,1,0.06099097207642242,0.0,0.06099097207642242
02/04/2023,9130,0,9130,5081,362,0,362,116,0,116,5,0,5,4,0,4,0.053340635268346114,0.0,0.053340635268346114
02/05/2023,5297,0,5297,2626,214,0,214,62,0,62,4,0,4,0,0,0,0.052860109495941096,0.0,0.052860109495941096
02/06/2023,5577,0,5577,2699,224,0,224,65,0,65,9,0,9,3,0,3,0.05397166935628474,0.0,0.05397166935628474
02/07/2023,12604,0,12604,5541,527,0,527,163,0,163,8,0,8,4,0,4,0.055696604252618215,0.0,0.055696604252618215
02/08/2023,4962,0,4962,2258,262,0,262,49,0,49,5,0,5,2,0,2,0.06408706166868199,0.0,0.06408706166868199
02/09/2023,2820,0,2820,1428,108,0,108,32,0,32,0,0,0,0,0,0,0.04964539007092199,0.0,0.04964539007092199
02/10/2023,5463,0,5463,2912,264,0,264,67,0,67,104,0,104,1,0,1,0.07980962840929892,0.0,0.07980962840929892
02/11/2023,2688,0,2688,1309,160,0,160,20,0,20,1,0,1,0,0,0,0.06733630952380952,0.0,0.06733630952380952
02/12/2023,1832,0,1832,819,88,0,88,14,0,14,1,0,1,0,0,0,0.056222707423580785,0.0,0.056222707423580785
02/13/2023,1872,0,1872,780,107,0,107,8,0,8,1,0,1,0,0,0,0.06196581196581197,0.0,0.06196581196581197
02/14/2023,4643,0,4643,2335,318,0,318,65,0,65,12,0,12,1,0,1,0.0852896833943571,0.0,0.0852896833943571
02/15/2023,5010,0,5010,2721,269,0,269,44,0,44,8,0,8,1,0,1,0.06427145708582835,0.0,0.06427145708582835
02/16/2023,4057,0,4057,2096,125,0,125,33,0,33,6,0,6,0,0,0,0.0404239585900912,0.0,0.0404239585900912
02/17/2023,3172,0,3172,1630,117,0,117,15,0,15,2,0,2,0,0,0,0.04224464060529634,0.0,0.04224464060529634
02/18/2023,1871,0,1871,1013,83,0,83,5,0,5,0,0,0,0,0,0,0.04703367183324426,0.0,0.04703367183324426
02/19/2023,1502,0,1502,702,81,0,81,5,0,5,0,0,0,0,0,0,0.05725699067909454,0.0,0.05725699067909454
02/20/2023,1288,0,1288,535,82,0,82,5,0,5,0,0,0,0,0,0,0.06754658385093168,0.0,0.06754658385093168
02/21/2023,1721,0,1721,854,96,0,96,4,0,4,0,0,0,1,0,1,0.058686809994189425,0.0,0.058686809994189425
02/22/2023,5474,0,5474,3077,138,0,138,45,0,45,114,0,114,2,0,2,0.0546218487394958,0.0,0.0546218487394958
