"Date","Experience Level","Total Followers"
"2024-03-24","Iniciante","39345"
"2024-03-24","Sênior","12473"
"2024-03-24","Parceiro","134"
"2024-03-24","Não remunerado","173"
"2024-03-24","Dirigente (CEO, COO, CFO, CMO)","314"
"2024-03-24","Proprietário","450"
"2024-03-24","Diretor","863"
"2024-03-24","Gerente","1346"
"2024-03-24","Treinamento","3858"
"2024-03-24","Vice-Presidente","111"
"2024-01-16","Sênior","9849"
"2024-01-16","Vice-Presidente","79"
"2024-01-16","Parceiro","109"
"2024-01-16","Não remunerado","127"
"2024-01-16","Dirigente (CEO, COO, CFO, CMO)","241"
"2024-01-16","Proprietário","348"
"2024-01-16","Diretor","718"
"2024-01-16","Gerente","1025"
"2024-01-16","Treinamento","3015"
"2024-01-16","Iniciante","30970"
