"Date","Location","Total Followers"
"2024-03-24","São Paulo e Região, Brasil","17387"
"2024-03-24","Lisboa e Região, Portugal","425"
"2024-03-24","Maringá, Brasil","365"
"2024-03-24","Maceió, Brasil","351"
"2024-03-24","Campo Grande, Brasil","349"
"2024-03-24","Juiz de Fora, Brasil","346"
"2024-03-24","Araraquara, Brasil","316"
"2024-03-24","Cuiabá e Região, Brasil","278"
"2024-03-24","Campina Grande, Brasil","272"
"2024-03-24","Teresina, Brasil","271"
"2024-03-24","São Carlos, Brasil","262"
"2024-03-24","Bauru, Brasil","255"
"2024-03-24","São José do Rio Preto, Brasil","239"
"2024-03-24","Feira de Santana, Brasil","228"
"2024-03-24","Diadema, Brasil","222"
"2024-03-24","Serra, Brasil","207"
"2024-03-24","Porto e Região, Portugal","199"
"2024-03-24","Taubaté, Brasil","188"
"2024-03-24","Piracicaba, Brasil","178"
"2024-03-24","Pelotas, Brasil","174"
"2024-03-24","Marília, Brasil","173"
"2024-03-24","Presidente Prudente, Brasil","172"
"2024-03-24","São José, Brasil","154"
"2024-03-24","Londrina e Região, Brasil","382"
"2024-03-24","Blumenau, Brasil","441"
"2024-03-24","Limeira, Brasil","136"
"2024-03-24","Aracaju, Brasil","449"
"2024-03-24","Recife e Região, Brasil","2913"
"2024-03-24","Brasília e Região, Brasil","2843"
"2024-03-24","Campinas e Região, Brasil","2490"
"2024-03-24","Fortaleza e Região, Brasil","2446"
"2024-03-24","Porto Alegre e Região, Brasil","2414"
"2024-03-24","Curitiba e Região, Brasil","2111"
"2024-03-24","Salvador e Região, Brasil","1899"
"2024-03-24","Florianópolis e Região, Brasil","1154"
"2024-03-24","Goiânia e Região, Brasil","943"
"2024-03-24","Manaus e Região, Brasil","877"
"2024-03-24","João Pessoa e Região, Brasil","777"
"2024-03-24","Uberlândia, Brasil","744"
"2024-03-24","Vitória e Região, Brasil","713"
"2024-03-24","Ribeirão Preto e Região, Brasil","699"
"2024-03-24","São José dos Campos, Brasil","657"
"2024-03-24","Sorocaba, Brasil","572"
"2024-03-24","Belém e Região, Brasil","571"
"2024-03-24","Santo André, Brasil","532"
"2024-03-24","Natal e Região, Brasil","525"
"2024-03-24","Joinville, Brasil","511"
"2024-03-24","São Luís e Região, Brasil","467"
"2024-03-24","São Caetano do Sul, Brasil","147"
"2024-03-24","Anápolis, Brasil","135"
"2024-03-24","Rio de Janeiro e Região, Brasil","5086"
"2024-03-24","Macaé, Brasil","95"
"2024-03-24","Ourinhos, Brasil","90"
"2024-03-24","Nova Friburgo, Brasil","89"
"2024-03-24","Araçatuba, Brasil","88"
"2024-03-24","Toledo, Brasil","85"
"2024-03-24","Imperatriz, Brasil","84"
"2024-03-24","Sobral, Brasil","83"
"2024-03-24","Rio das Ostras, Brasil","79"
"2024-03-24","Rio Claro, Brasil","79"
"2024-03-24","Bragança Paulista, Brasil","79"
"2024-03-24","Mossoró, Brasil","78"
"2024-03-24","Passo Fundo, Brasil","75"
"2024-03-24","Ipatinga, Brasil","75"
"2024-03-24","Divinópolis, Brasil","75"
"2024-03-24","Poços de Caldas, Brasil","73"
"2024-03-24","Atibaia, Brasil","73"
"2024-03-24","Balneário Camboriú, Brasil","72"
"2024-03-24","Araras, Brasil","72"
"2024-03-24","Lavras, Brasil","72"
"2024-03-24","Governador Valadares, Brasil","70"
"2024-03-24","Braga e Região, Portugal","69"
"2024-03-24","Dublin e Região, Irlanda","68"
"2024-03-24","Jaraguá do Sul, Brasil","91"
"2024-03-24","Santana de Parnaíba, Brasil","96"
"2024-03-24","Caxias do Sul, Brasil","134"
"2024-03-24","Luanda, Angola","97"
"2024-03-24","Volta Redonda, Brasil","131"
"2024-03-24","Caruaru, Brasil","130"
"2024-03-24","Uberaba, Brasil","127"
"2024-03-24","Cascavel, Brasil","125"
"2024-03-24","Jacareí, Brasil","124"
"2024-03-24","Ponta Grossa, Brasil","124"
"2024-03-24","Embu das Artes, Brasil","122"
"2024-03-24","Montes Claros, Brasil","121"
"2024-03-24","Petrópolis, Brasil","118"
"2024-03-24","Vitória da Conquista, Brasil","114"
