"Date","Followers Sponsored","Followers Organic","Total Followers"
"2024-03-24","0","143","143"
"2024-03-23","0","132","132"
"2024-03-22","0","265","265"
"2024-03-21","0","343","343"
"2024-03-20","0","336","336"
"2024-03-19","0","381","381"
"2024-03-18","0","261","261"
"2024-03-17","0","123","123"
"2024-03-16","0","161","161"
"2024-03-15","0","368","368"
"2024-03-14","0","384","384"
"2024-03-13","0","375","375"
"2024-03-12","0","364","364"
"2024-03-11","0","280","280"
"2024-03-10","0","132","132"
"2024-03-09","0","157","157"
"2024-03-08","0","324","324"
"2024-03-07","0","403","403"
"2024-03-06","0","420","420"
"2024-03-05","0","457","457"
"2024-03-04","0","385","385"
"2024-03-03","0","221","221"
"2024-03-02","0","265","265"
"2024-03-01","0","423","423"
"2024-02-29","0","398","398"
"2024-02-28","0","425","425"
"2024-02-27","0","390","390"
"2024-02-26","0","345","345"
"2024-02-25","0","167","167"
"2024-02-24","0","210","210"
"2024-02-23","0","265","265"
"2024-02-22","0","339","339"
"2024-02-21","0","333","333"
"2024-02-20","0","302","302"
"2024-02-19","0","252","252"
"2024-02-18","0","120","120"
"2024-02-17","0","194","194"
"2024-02-16","0","343","343"
"2024-02-15","0","295","295"
"2024-02-14","0","234","234"
"2024-02-13","0","173","173"
"2024-02-12","0","173","173"
"2024-02-11","0","111","111"
"2024-02-10","0","157","157"
"2024-02-09","0","262","262"
"2024-02-08","0","299","299"
"2024-02-07","0","298","298"
"2024-02-06","0","299","299"
"2024-02-05","0","285","285"
"2024-02-04","0","142","142"
"2024-02-03","0","188","188"
"2024-02-02","0","357","357"
"2024-02-01","0","309","309"
"2024-01-31","0","377","377"
"2024-01-30","0","384","384"
"2024-01-29","0","369","369"
"2024-01-28","0","227","227"
"2024-01-27","0","214","214"
"2024-01-26","0","396","396"
"2024-01-25","0","414","414"
"2024-01-24","0","368","368"
"2024-01-23","0","299","299"
"2024-01-22","0","223","223"
"2024-01-21","0","137","137"
"2024-01-20","0","142","142"
"2024-01-19","0","234","234"
"2024-01-18","0","289","289"
"2024-01-17","0","284","284"
"2024-01-16","0","285","285"
"2024-01-15","0","225","225"
"2024-01-14","0","100","100"
"2024-01-13","0","142","142"
"2024-01-12","0","249","249"
"2024-01-11","0","213","213"
"2024-01-10","0","207","207"
"2024-01-09","0","159","159"
"2024-01-08","0","142","142"
"2024-01-07","0","83","83"
"2024-01-06","0","86","86"
"2024-01-05","0","154","154"
"2024-01-04","0","162","162"
"2024-01-03","0","142","142"
"2024-01-02","0","117","117"
"2024-01-01","0","42","42"
"2023-12-31","0","42","42"
"2023-12-30","0","65","65"
"2023-12-29","0","98","98"
"2023-12-28","0","141","141"
"2023-12-27","0","128","128"
"2023-12-26","0","154","154"
"2023-12-25","0","78","78"
"2023-12-24","0","62","62"
"2023-12-23","0","79","79"
"2023-12-22","0","124","124"
"2023-12-21","0","197","197"
"2023-12-20","0","142","142"
"2023-12-19","0","151","151"
"2023-12-18","0","150","150"
