"Date","Industry","Total Followers"
"2024-03-24","Atividades dos serviços de tecnologia da informação","16329"
"2024-03-24","Fabricação de veículos automotores, reboques e carrocerias","514"
"2024-03-24","Atividades de organizações sem fins lucrativos","472"
"2024-03-24","Construção","463"
"2024-03-24","Seguros e previdência complementar","455"
"2024-03-24","Serviços de eletricidade, gás, água e esgoto","448"
"2024-03-24","Educação infantil, ensino fundamental e ensino médio","428"
"2024-03-24","Tecnologia, Informação e Mídia","386"
"2024-03-24","Obras de infra-estrutura","379"
"2024-03-24","Recrutamento e seleção de pessoal","373"
"2024-03-24","Agricultura","355"
"2024-03-24","Transporte rodoviário de carga","348"
"2024-03-24","Marketing","346"
"2024-03-24","Consultoria de terceirização e offshoring","342"
"2024-03-24","Treinamento em desenvolvimento profissional","339"
"2024-03-24","Infraestrutura e análise de dados","334"
"2024-03-24","Fabricação de máquinas e equipamentos de uso industrial específico","333"
"2024-03-24","Atividades de associações de defesa de direitos sociais","332"
"2024-03-24","Comércio varejista de artigos do vestuário e acessórios","331"
"2024-03-24","Design gráfico","327"
"2024-03-24","Atividades imobiliárias","319"
"2024-03-24","Serviços advocatícios","312"
"2024-03-24","Planejamento, assessoramento e organização de viagens","307"
"2024-03-24","Fornecimento e gestão de recursos humanos","497"
"2024-03-24","Atividades de serviços pessoais","533"
"2024-03-24","Serviços de informação","300"
"2024-03-24","Serviços de alimentação e bebidas","541"
"2024-03-24","Comércio varejista","2200"
"2024-03-24","Educação superior","1933"
"2024-03-24","Atividades de serviços financeiros","1645"
"2024-03-24","Telecomunicações","1315"
"2024-03-24","Intermediação não-monetária - outros instrumentos de captação","1266"
"2024-03-24","Publicidade e propaganda","1231"
"2024-03-24","Atividades de consultoria em gestão empresarial","1182"
"2024-03-24","Administração pública, defesa e seguridade social","1172"
"2024-03-24","Serviços de gestão estratégica","997"
"2024-03-24","Serviços combinados para apoio a edifícios","938"
"2024-03-24","Hospitais e atividades de atenção à saúde humana","876"
"2024-03-24","Serviços de design","841"
"2024-03-24","Transporte, armazenagem e correio","802"
"2024-03-24","Publicação na Internet","788"
"2024-03-24","Desenvolvimento e licenciamento de software customizáveis","785"
"2024-03-24","Atividades de apoio à educação","777"
"2024-03-24","Bancos","759"
"2024-03-24","Segurança de redes e computadores","746"
"2024-03-24","Ensino eletrônico","721"
"2024-03-24","Atividades de bem-estar e condicionamento físico","644"
"2024-03-24","Atividades de contabilidade","568"
"2024-03-24","Comércio por atacado","307"
"2024-03-24","Serviços de projeto em tecnologia da informação","297"
"2024-03-24","Desenvolvimento de software","12779"
"2024-03-24","Artes, cultura, esporte e recreação","164"
"2024-03-24","Treinamento e suporte em tecnologia da informação","157"
"2024-03-24","Mineração","155"
"2024-03-24","Serviços de engenharia","137"
"2024-03-24","Teste e avaliação de tecnologia da informação","133"
"2024-03-24","Comércio atacadista de materiais de construção em geral","131"
"2024-03-24","Defesa nacional","130"
"2024-03-24","Hotelaria","129"
"2024-03-24","Fabricação de produtos de material plástico","129"
"2024-03-24","Atividades de rádio e de televisão","127"
"2024-03-24","Serviços de arquitetura e planejamento","126"
"2024-03-24","Fabricação de móveis e artigos de decoração","120"
"2024-03-24","Hospitais","118"
"2024-03-24","Fabricação de celulose, papel e produtos de papel","113"
"2024-03-24","Serviços de assistência social sem alojamento","112"
"2024-03-24","Extração de minerais metálicos","105"
"2024-03-24","Fabricação de equipamentos de energia renovável","105"
"2024-03-24","Gestão de investimentos em aplicações financeiras","103"
"2024-03-24","Transporte aéreo","102"
"2024-03-24","Comércio atacadista de importação e exportação de bens e commodities","101"
"2024-03-24","Atividades esportivas para audiências","100"
"2024-03-24","Publicação de livros e periódicos","98"
"2024-03-24","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","160"
"2024-03-24","Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos","166"
"2024-03-24","Fabricação de produtos alimentícios e bebidas","296"
