"Date","Company Size","Total Followers"
"2024-03-24","51-200","9195"
"2024-03-24","+ de 10.001","8792"
"2024-03-24","5.001-10.000","2639"
"2024-03-24","2-10","3968"
"2024-03-24","501-1.000","4075"
"2024-03-24","201-500","5501"
"2024-03-24","1.001-5.000","7321"
"2024-03-24","11-50","8068"
"2024-03-24","1","568"
"2024-01-16","+ de 10.001","6826"
"2024-01-16","1","436"
"2024-01-16","5.001-10.000","2015"
"2024-01-16","2-10","3192"
"2024-01-16","501-1.000","3249"
"2024-01-16","201-500","4324"
"2024-01-16","1.001-5.000","5768"
"2024-01-16","11-50","6497"
"2024-01-16","51-200","7211"
