Data,Nível de experiência,Total de visualizações
01/16/2024,Iniciante,68788
03/24/2024,Iniciante,37572
01/16/2024,Sênior,25488
03/24/2024,Sênior,12064
01/16/2024,Treinamento,7485
03/24/2024,Treinamento,4967
01/16/2024,Gerente,2072
01/16/2024,Diretor,1852
01/16/2024,Proprietário,1410
03/24/2024,Gerente,1320
03/24/2024,Diretor,741
01/16/2024,"Dirigente (CEO, COO, CFO, CMO)",646
03/24/2024,Proprietário,473
01/16/2024,Não remunerado,376
01/16/2024,Parceiro,333
03/24/2024,"Dirigente (CEO, COO, CFO, CMO)",280
03/24/2024,Não remunerado,265
03/24/2024,Parceiro,121
01/16/2024,Vice-Presidente,117
03/24/2024,Vice-Presidente,79
