Data,Função,Total de visualizações
01/16/2024,Engenharia,30886
01/16/2024,Tecnologia da informação,17458
03/24/2024,Engenharia,15781
03/24/2024,Tecnologia da informação,10524
01/16/2024,Operações,6579
01/16/2024,Educação,6152
01/16/2024,Administração,5451
01/16/2024,Arte e design,5430
01/16/2024,Desenvolvimento de negócios,5280
03/24/2024,Operações,4024
03/24/2024,Educação,3603
01/16/2024,Controle de qualidade,3304
01/16/2024,Vendas,3164
03/24/2024,Administração,2973
01/16/2024,Gestão de produtos,2676
01/16/2024,Suporte,2650
03/24/2024,Desenvolvimento de negócios,2573
01/16/2024,Pesquisa,2510
01/16/2024,Recursos humanos,2249
03/24/2024,Arte e design,2122
03/24/2024,Vendas,2071
01/16/2024,Financeiro,1749
03/24/2024,Suporte,1580
01/16/2024,Marketing,1565
03/24/2024,Controle de qualidade,1461
01/16/2024,Mídia e comunicação,1438
03/24/2024,Gestão de produtos,1166
01/16/2024,Gestão de projetos,1163
03/24/2024,Pesquisa,1103
01/16/2024,Contabilidade,1054
03/24/2024,Marketing,1018
03/24/2024,Recursos humanos,961
01/16/2024,Saúde,947
01/16/2024,Serviços sociais e comunitários,797
03/24/2024,Financeiro,766
01/16/2024,Área jurídica,657
03/24/2024,Mídia e comunicação,654
01/16/2024,Serviços de proteção e militares,642
01/16/2024,Empreendedorismo,635
03/24/2024,Gestão de projetos,613
01/16/2024,Consultoria,612
03/24/2024,Contabilidade,531
03/24/2024,Serviços sociais e comunitários,456
03/24/2024,Serviços de proteção e militares,432
03/24/2024,Saúde,401
01/16/2024,Imóveis,388
03/24/2024,Área jurídica,384
01/16/2024,Compras,273
03/24/2024,Empreendedorismo,246
03/24/2024,Imóveis,212
03/24/2024,Consultoria,203
03/24/2024,Compras,142
