Data,Visualizações da página Visão geral (computadores),Visualizações da página Visão geral (dispositivos móveis),Visualizações da página Visão geral (total),Visitantes únicos da página Visão geral (computadores),Visitantes únicos da página Visão geral (dispositivos móveis),Visitantes únicos da página Visão geral (total),Visualizações da página Dia a dia (computadores),Visualizações da página Dia a dia (dispositivos móveis),Visualizações da página Dia a dia (total),Visitantes únicos da página Dia a dia (computadores),Visitantes únicos da página Dia a dia (dispositivos móveis),Visitantes únicos da página Dia a dia (total),Visualizações da página Vagas (computadores),Visualizações da página Vagas (dispositivos móveis),Visualizações da página Vagas (total),Visitantes únicos da página Vagas (computadores),Visitantes únicos da página Vagas (dispositivos móveis),Visitantes únicos da página Vagas (total),Total de visualizações da página (computadores),Total de visualizações da página (dispositivos móveis),Total de visualizações da página (total),Total de visitantes únicos (computadores),Total de visitantes únicos (dispositivos móveis),Total de visitantes únicos (total)
01/17/2023,105,0,105,67,0,67,0,0,0,0,0,0,25,21,46,24,18,42,144,21,165,67,18,85
01/18/2023,201,279,480,106,104,208,0,0,0,0,0,0,46,14,60,42,12,54,277,325,602,106,104,208
01/19/2023,107,214,321,60,81,139,0,0,0,0,0,0,22,13,35,19,9,28,158,262,420,61,81,140
01/20/2023,138,396,534,79,139,217,0,0,0,0,0,0,31,20,51,30,15,45,195,490,685,80,139,218
01/21/2023,114,348,462,51,138,187,0,0,0,0,0,0,27,25,52,24,21,45,164,435,599,52,138,188
01/22/2023,26,0,26,17,0,17,0,0,0,0,0,0,7,15,22,6,10,16,39,15,54,17,10,27
01/23/2023,150,0,150,88,0,88,0,0,0,0,0,0,30,10,40,27,9,36,211,15,226,89,9,98
01/24/2023,128,0,128,71,0,71,0,0,0,0,0,0,23,14,37,22,9,31,162,14,176,71,9,80
01/25/2023,239,4,243,109,1,110,0,0,0,0,0,0,27,23,50,27,18,45,303,29,332,110,19,129
01/26/2023,155,319,474,82,125,207,0,0,0,0,0,0,19,20,39,19,16,35,193,431,624,83,127,210
