Data,Setor,Total de visualizações
03/24/2024,Desenvolvimento de software,40897
01/16/2024,Atividades dos serviços de tecnologia da informação,23896
03/24/2024,Atividades dos serviços de tecnologia da informação,23620
01/16/2024,Desenvolvimento de software,14730
01/16/2024,"Tecnologia, Informação e Internet",3501
01/16/2024,Comércio varejista,3493
01/16/2024,Educação superior,3210
01/16/2024,Intermediação não-monetária - outros instrumentos de captação,2565
01/16/2024,Atividades de serviços financeiros,2532
03/24/2024,Serviços de gestão estratégica,2489
01/16/2024,Atividades de consultoria em gestão empresarial,2120
03/24/2024,Educação superior,2096
01/16/2024,Publicidade e propaganda,2094
03/24/2024,Atividades de serviços financeiros,1889
01/16/2024,Telecomunicações,1790
01/16/2024,"Administração pública, defesa e seguridade social",1784
03/24/2024,Comércio varejista,1722
01/16/2024,Ensino eletrônico,1650
03/24/2024,Serviços de design,1622
01/16/2024,Publicação na Internet,1515
03/24/2024,Publicidade e propaganda,1462
03/24/2024,Serviços combinados para apoio a edifícios,1314
03/24/2024,Atividades de serviços pessoais,1306
01/16/2024,Atividades de apoio à educação,1300
01/16/2024,Serviços combinados para apoio a edifícios,1252
01/16/2024,Hospitais e atividades de atenção à saúde humana,1155
01/16/2024,Atividades de bem-estar e condicionamento físico,1116
03/24/2024,Recrutamento e seleção de pessoal,1090
01/16/2024,Serviços de design,1090
01/16/2024,Bancos,1060
01/16/2024,Segurança de redes e computadores,1059
01/16/2024,Serviços de gestão estratégica,969
01/16/2024,Seguros e previdência complementar,896
01/16/2024,Serviços de alimentação e bebidas,893
03/24/2024,Hospitais e atividades de atenção à saúde humana,884
01/16/2024,"Fabricação de veículos automotores, reboques e carrocerias",845
01/16/2024,"Transporte, armazenagem e correio",836
03/24/2024,"Administração pública, defesa e seguridade social",816
03/24/2024,Transporte rodoviário de carga,808
01/16/2024,Atividades de organizações sem fins lucrativos,804
03/24/2024,Telecomunicações,803
03/24/2024,Consultoria de terceirização e offshoring,790
03/24/2024,Fornecimento e gestão de recursos humanos,786
01/16/2024,Fornecimento e gestão de recursos humanos,759
01/16/2024,Treinamento em desenvolvimento profissional,753
03/24/2024,Bancos,734
01/16/2024,"Serviços de eletricidade, gás, água e esgoto",728
03/24/2024,Design gráfico,726
01/16/2024,Atividades de contabilidade,701
03/24/2024,Atividades de consultoria em gestão empresarial,678
01/16/2024,Consultoria de terceirização e offshoring,648
01/16/2024,Atividades de associações de defesa de direitos sociais,618
01/16/2024,Obras de infra-estrutura,597
01/16/2024,Transporte rodoviário de carga,591
01/16/2024,Construção,583
01/16/2024,"Educação infantil, ensino fundamental e ensino médio",562
03/24/2024,"Tecnologia, Informação e Internet",561
01/16/2024,"Planejamento, assessoramento e organização de viagens",553
03/24/2024,Atividades de apoio à educação,550
01/16/2024,Recrutamento e seleção de pessoal,544
01/16/2024,Atividades imobiliárias,524
01/16/2024,Fabricação de máquinas e equipamentos de uso industrial específico,511
03/24/2024,Atividades de contabilidade,501
01/16/2024,Pesquisa e desenvolvimento cientifico,485
01/16/2024,Serviços de informação,479
01/16/2024,Desenvolvimento e licenciamento de software customizáveis,459
01/16/2024,Restaurantes e outros serviços de alimentação e bebidas,447
01/16/2024,Comércio varejista de artigos do vestuário e acessórios,434
03/24/2024,"Educação infantil, ensino fundamental e ensino médio",432
01/16/2024,Agricultura,426
03/24/2024,Construção,417
01/16/2024,Atividades de serviços pessoais,415
01/16/2024,Comércio por atacado,415
03/24/2024,Fabricação de máquinas e equipamentos de uso industrial específico,414
01/16/2024,Serviços advocatícios,405
03/24/2024,"Fabricação de veículos automotores, reboques e carrocerias",403
03/24/2024,Segurança de redes e computadores,402
01/16/2024,Justiça,397
01/16/2024,Fabricação de produtos farmoquímicos e farmacêuticos,392
01/16/2024,Educação,383
01/16/2024,Design gráfico,356
01/16/2024,Atividades de rádio e de televisão,339
01/16/2024,Serviços de projeto em tecnologia da informação,335
01/16/2024,Serviços ambientais,335
01/16/2024,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",335
01/16/2024,Indústrias de transformação,323
01/16/2024,Serviços de arquitetura e planejamento,322
01/16/2024,Fabricação de produtos alimentícios e bebidas,320
03/24/2024,Comércio varejista de artigos do vestuário e acessórios,320
03/24/2024,Seguros e previdência complementar,314
01/16/2024,"Atividades de vigilância, segurança e investigação",312
01/16/2024,Fabricação de produtos têxteis,310
03/24/2024,Pesquisa e desenvolvimento cientifico,307
